model_name,evaluation_method,number_of_batches,accuracy,balanced_accuracy,precision,recall,f1,methodological_warning
Logistic Regression (Scaled),LeaveOneOut,27,0.5925925925925926,0.47058823529411764,0.6153846153846154,0.9411764705882353,0.7441860465116279,"Échantillon extrêmement faible, résultats exploratoires uniquement."
Decision Tree (max_depth=3),LeaveOneOut,27,0.7407407407407407,0.7529411764705882,0.8571428571428571,0.7058823529411765,0.7741935483870968,"Échantillon extrêmement faible, résultats exploratoires uniquement."
