model_name,feature,importance_or_coefficient,absolute_importance,interpretation_type
Logistic Regression,pre_temperature_max,0.41189524930413557,0.41189524930413557,coefficient
Logistic Regression,pre_heures_hors_limite_max,0.3587292339300843,0.3587292339300843,coefficient
Logistic Regression,pre_humidite_moyenne,-0.3558121665300418,0.3558121665300418,coefficient
Logistic Regression,pre_temperature_moyenne,0.3460153764597896,0.3460153764597896,coefficient
Decision Tree,pre_temperature_moyenne,0.8622448979591837,0.8622448979591837,gini_importance
Decision Tree,pre_humidite_moyenne,0.1377551020408163,0.1377551020408163,gini_importance
Decision Tree,pre_temperature_max,0.0,0.0,gini_importance
Decision Tree,pre_heures_hors_limite_max,0.0,0.0,gini_importance
