model_name,feature,importance_or_coefficient,absolute_importance,interpretation_type
Logistic Regression,pre_temperature_max,0.4118952493041354,0.4118952493041354,coefficient
Logistic Regression,pre_heures_hors_limite_max,0.35872923393008427,0.35872923393008427,coefficient
Logistic Regression,pre_humidite_moyenne,-0.35581216653004205,0.35581216653004205,coefficient
Logistic Regression,pre_temperature_moyenne,0.3460153764597897,0.3460153764597897,coefficient
Decision Tree,pre_temperature_moyenne,0.8622448979591837,0.8622448979591837,gini_importance
Decision Tree,pre_humidite_moyenne,0.1377551020408163,0.1377551020408163,gini_importance
Decision Tree,pre_temperature_max,0.0,0.0,gini_importance
Decision Tree,pre_heures_hors_limite_max,0.0,0.0,gini_importance
